"Strategies, Program, Activities, Tasks, Resources for Company",SPATRES
Analysis and Strategy Formulation and Revised Vision-Mission-Key Result Areas,ASFR
"Analysis, Short/Long Run Decision-Making Exercises, Financial Forecast for 1 year",ASLRDMEFF
"Clarifying Values, Pointing to Purpose",CVPP
Consolidation and Disaggregation,CD
Delivery & Productivity; Sustainability,DPRODS
"Enterprise / Project  for QDP Improvement, Individual Chosen QDP Improvement Program Strategy for QDP Program",DPRODS
How to Use Industry/Business Statistics and Spot Opportunities,HUIBSSO
Industry Situationer and Market Forecast,ISMF
Objectives (VMO),O(VMO)
Performance Indicators (VMOKRAPI),PI(VMOKRAPI)
Research Report,RR
Sustainability based on VMOKRAPI,SVMOKRAPI
21st Century Enterprises,21STCE
Achieving Competitive Advantage Through Lean Management,ACATLM
Action Consultancy,AC
"Action Planning and Implementing: Action Planning and Strategy Operationalization, Gearing the Organization for Implementation, Mobilizing Resources, Contingency Planning and Restructuring",API
Action Planning: Flexible Implementation; Development of the Learning Organization; Resource Mobilization and Stewardship,AP-FIDLORMS
Adapt New Management Concepts,ANMC
Adaptive Leader: New Thinking Paradigms,ALNTP                    
Adaptive Leadership,AL
Adaptive Leadership & Organizational Culture,ALOC
"Adaptive Leadership: Leadership Life Cycle, Leadership Communications, Leadership Styles",ADLLCLLCMLS
Adaptive Leadership: New Thinking Paradigms,ALNTP
Advance Negotiations,AN
Advance Topic in Marketing Research,ATMR
Advanced Competitive Strategy,ACS
Advanced Corporate Finance,ACF
Advanced Financial Analysis,AFA
Advanced Marketing,AM
Advanced Marketing I,AM1
Advanced Negotiations,AN
Advanced Operations Management,AOM
Advanced Topics in Marketing Research,ATMR
Advertising,AD
Advertising and Sales Promotion Management,ASPM
Advertising Management,AM
Agribusiness,Agri
Agribusiness I,Agri1
Agricultural Marketing,AMKtng
Analysis and Preparation,APREP
Analysis and Presentation,APRES
Analysis of Development Environment,ADE
Analytical & Intuitive Management,AIM
Analyzing the Development Environment,ADE1
Application of Learnings: Integrating the FEM: Group Integrative Case,ALI
Applied Business Research,ABR
Applied Optimization Analysis,AOA
Applied Optimization Under Uncertainty,AOUU
Applied Research Methodology,ARM
Applied Statistics Using SPSS,ASUSPSS
Area-Industry Dynamics and Structure,AIDS
Art of Modelling,AMO
Asian Business Systems,ABS
Asian Business Systems (for ISEP INBOUND students only),ABS-ISEP
Asian Development and Governance Systems,ADGS
Asian Development Finance,ADF
Asian Immersion Program,AIP
Asian Industry Immersion,AII
Asian Study Tour,AST
Asian Warrior Philosophers,AWP
Assessment Models: Ten Levels of Organizational Assessment; Seven S Model,AM-TLOA7SM
Assessment Screening and Development for Company,ASDC
Asset Backed Securities Analysis,ABSA
Banking With the Poor,BWP
"Base of Pyramid Business Strategy, Leadership and Model Design",BOP
Basic Computer Methods,BCM
Basic Economics for Non-Economist,BEM
Basic Investment Finance,BIM
Basic Statistics,Bstat
Benchmarking,BMRKNG
Brand Management,BM
Breakout Strategy,Bstrat
Bridging Leadership,BL
B to B Marketing,MSCB2BM
Budgeting and Financial Tools for Development Managers,BFTDM
Building Sustainable Future,BSF
Building the Entrepreneurial Organization,BEO
Bus. Leaders. : A Habit of Mind Q,BL-AHMQ
Busi Strat: Pyramid Base,BS-PB
Business Communication Presentation Skills,BCPS
Business Dynamics in Family Business,BDFB
Business Economics,BEC
Business Ethics,BET
Business Ethics  and Social Responsibilities,BESR
"Business Ethics, Efficiency and Trust",BEET
Business Game,BG
Business in Sustainable Development,BSD
Business Intelligence,BI
Business Issues in Non-Profit Management and Leadership,BINML
Business Leadership and Responsibility,BLR
Business Management Game,BMG
Business Networking,BN
Business Policy,BP
Business Process Management,BPM
Business Process Re-Engineering,BPR
Business Readjustments and Reorganizations,BRR
Business Strategy and Human Resource,BSHR
Business Strategy for Technology Based Enterprise,BSTB
Business Strategy Game,BSG
Business Technology and Innovation,BTI
Business to Business Marketing,B2BM
Buyer Behavior,BB
Capital Budgeting,Cbudgeting
Capital Market Development and Investments,CMDI
Career Planning,CP
Case + Teaching Note,CN
Case Method,CM
CEMS Consumer-driven Value Networks,CEMSCDVN
CEMS Strategic Management of Financial Institutions (Skriftlig 4-timer),CEMSSMFI
CFA Review,CFA
Challenges in Global Management,CGM
Change Management,CMNGT
